node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
x7ti,OTAC_big,bpfland_default,4,3,0,0,half,16.932499999999997,16.8,16.992,0.19200000000000017,0.0739387884972729
x7ti,OTAC_big,bpfland_default,8,6,0,0,full,35.393100000000004,35.112,35.505,0.3930000000000007,0.11412415266814609
x7ti,OTAC_little,bpfland_default,4,3,0,0,half,24.5054,24.242,24.658,0.41600000000000037,0.15413572662501757
x7ti,OTAC_little,bpfland_default,8,6,0,0,full,44.1536,43.745,44.558,0.8130000000000024,0.2630970247730769
x7ti,2CATAC,bpfland_energy,4,3,0,0,half,14.9661,14.907,15.076,0.16900000000000048,0.05878104380760127
x7ti,2CATAC,bpfland_energy,8,6,0,0,full,30.725,30.61,30.953,0.34299999999999997,0.10609953398159237
x7ti,FERTAC,bpfland_energy,4,3,0,0,half,17.8275,17.628,18.056,0.4280000000000008,0.12349741337822091
x7ti,FERTAC,bpfland_energy,8,6,0,0,full,45.3495,44.908,45.789,0.8810000000000002,0.3022498047053868
x7ti,HeRAD,bpfland_energy,4,3,0,0,half,15.0577,14.886,15.286,0.40000000000000036,0.12531121258690303
x7ti,HeRAD,bpfland_energy,8,6,0,0,full,31.150399999999998,30.872,31.308,0.43599999999999994,0.14542443627763077
x7ti,OTAC_big,bpfland_energy,4,3,0,0,half,5.480199999999999,5.181,5.632,0.4509999999999996,0.1421437457099131
x7ti,OTAC_big,bpfland_energy,8,6,0,0,full,19.092200000000002,18.987,19.168,0.18100000000000094,0.05612248509584529
x7ti,OTAC_little,bpfland_energy,4,3,0,0,half,12.4146,12.268,12.516,0.24799999999999933,0.07929158565418858
x7ti,OTAC_little,bpfland_energy,8,6,0,0,full,24.5047,24.34,24.636,0.2959999999999994,0.07111813333383318
x7ti,2CATAC,bpfland_performance,4,3,0,0,half,44.4641,43.626,45.358,1.7319999999999993,0.5213636926369155
x7ti,2CATAC,bpfland_performance,8,6,0,0,full,46.7478,45.834,47.59,1.7560000000000002,0.5420854381204336
x7ti,FERTAC,bpfland_performance,4,3,0,0,half,34.4134,34.012,34.743,0.7310000000000016,0.24638100576140173
x7ti,FERTAC,bpfland_performance,8,6,0,0,full,52.9356,51.885,53.849,1.9639999999999986,0.48675323430986156
x7ti,HeRAD,bpfland_performance,4,3,0,0,half,44.47539999999999,43.466,45.089,1.6229999999999976,0.5243659027816366
x7ti,HeRAD,bpfland_performance,8,6,0,0,full,46.6017,46.108,47.101,0.9930000000000021,0.32002189161229433
x7ti,OTAC_big,bpfland_performance,4,3,0,0,half,17.1039,16.775,17.383,0.6080000000000005,0.19660306881294273
x7ti,OTAC_big,bpfland_performance,8,6,0,0,full,35.1615,34.922,35.382,0.46000000000000085,0.16618948355550195
x7ti,OTAC_little,bpfland_performance,4,3,0,0,half,24.684400000000004,24.336,24.89,0.554000000000002,0.1660182051596889
x7ti,OTAC_little,bpfland_performance,8,6,0,0,full,43.302699999999994,42.973,43.521,0.5480000000000018,0.2021363950955459
