node_name,x_node_name,tag1,tag2,sched,x_sched,pinning,x_pinning,max_little,max_big,n_little,n_big,strat,sck_v_mean,sck_v_min,sck_v_max,sck_v_std,sck_i_mean,sck_i_min,sck_i_max,sck_i_std,sck_w_mean,sck_w_min,sck_w_max,sck_w_minus,sck_w_plus,sck_w_std,sck_w_idle,sck_j_first,sck_j_last,sck_j_total,rapl_w_mean,rapl_w_min,rapl_w_max,rapl_w_std,rapl_w_idle,thr_mean,thr_min,thr_max,thr_minus,thr_plus,thr_error,thr_std,sck_ene_per_fra,rapl_ene_per_fra
x7ti,4,2CATAC_packed_half,x7ti_2CATAC_half,2CATAC,1,packed,3,4,3,4,3,half,18.798010083417363,18.67,19.014,0.06812890691309542,3.4470857594646622,1.066,4.6217,0.6954737582325003,64.76242407854524,20.245472000000003,86.35646449999999,44.51695207854523,21.59404042145475,12.948483132634896,13.50118462351242,524.401,2466.469,1942.0680000000002,51.62,50.18,52.19,0.39,4.66,37.4182,36.715,37.756,0.7031999999999954,0.33780000000000143,1.0409999999999968,0.326699250075661,0.024632366588608103,0.01963364993505834
x7ti,4,2CATAC_packed_full,x7ti_2CATAC_full,2CATAC,1,packed,3,8,6,8,5,full,18.743670763907858,18.666,18.879,0.03780239091232178,4.106532960029136,2.63,4.7122,0.388652074049771,76.96023800127014,49.58076,88.11814,27.379478001270144,11.157901998729855,7.1843072937285495,13.50118462351242,0.137,2305.247,2305.1099999999997,60.07,59.19,61.78,0.74,4.66,70.96849999999999,70.156,72.303,0.8124999999999858,1.3345000000000056,2.1469999999999914,0.6274789505101598,0.015433581197771926,0.012046418340531365
x7ti,4,FERTAC_packed_half,x7ti_FERTAC_half,FERTAC,2,packed,3,4,3,4,3,half,18.74735449639472,18.681,18.92,0.018080329574889333,4.042803056550723,1.8339,4.5892,0.15985969921697268,75.79011056822367,34.697388000000004,85.81804,41.092722568223664,10.027929431776329,2.954581424070527,13.50118462351242,0.131,2272.7,2272.569,59.03,58.46,59.57,0.22,4.66,35.3147,34.75,36.879,0.564700000000002,1.5642999999999958,2.128999999999998,0.5703628572136232,0.030543792064125122,0.02378938402421655
x7ti,4,FERTAC_packed_full,x7ti_FERTAC_full,FERTAC,2,packed,3,8,6,8,6,full,18.72882088670846,18.658,18.841,0.013884845401597476,4.260032538384665,3.0115,4.9039,0.12514616410633939,79.78425704041973,56.7396715,91.4969662,23.04458554041973,11.712709159580271,2.306259614249103,13.50118462351242,5615.931,8008.562,2392.6310000000003,60.83,60.04,61.52,0.47,4.66,63.735299999999995,63.282,65.129,0.4532999999999987,1.3937000000000097,1.8470000000000084,0.7124664592495269,0.01781570881755093,0.013583250726049772
x7ti,4,HeRAD_packed_half,x7ti_HeRAD_half,HeRAD,3,packed,3,4,3,4,3,half,18.787495712070065,18.64,19.025,0.0654664907861568,3.547589832132105,1.0589,4.3342,0.6781511474169468,66.61607237884317,20.145572499999997,81.9293826,46.47049987884317,15.313310221156826,12.613611964641771,13.50118462351242,0.073,1994.207,1994.134,52.01,51.60,52.42,0.19,4.66,38.67550000000001,38.264,39.181,0.41150000000000375,0.5054999999999907,0.9169999999999945,0.26725029882531853,0.024513708732807483,0.019138894649067234
x7ti,4,HeRAD_packed_full,x7ti_HeRAD_full,HeRAD,3,packed,3,8,6,8,5,full,18.732780378282758,18.644,18.972,0.028339391970230485,4.201959264298997,1.254,4.77,0.2535923378815428,78.70978221078151,23.790888000000002,89.12744999999998,54.91889421078151,10.41766778921847,4.68315153485354,13.50118462351242,0.147,2359.504,2359.357,60.99,60.56,61.43,0.20,4.66,71.5471,70.882,71.986,0.6650999999999954,0.43890000000000384,1.1039999999999992,0.3666177088527553,0.015656785815551466,0.01213200367310485
x7ti,4,OTAC_big_packed_half,x7ti_OTAC_big_half,OTAC_big,4,packed,3,4,3,0,3,half,18.864992545454545,18.758,19.007,0.023839641457377943,2.620229418181818,0.8096,3.2471,0.20380680045890007,49.427677684986364,15.3880672,61.16898549999999,34.03961048498636,11.741307815013627,3.805221278897211,13.50118462351242,0.078,1480.832,1480.7540000000001,36.47,35.79,36.94,0.29,4.66,18.125899999999994,17.697,19.186,0.4288999999999952,1.0601000000000056,1.4890000000000008,0.3889951299323826,0.038809367193503565,0.028635325142475698
x7ti,4,OTAC_big_packed_full,x7ti_OTAC_big_full,OTAC_big,4,packed,3,8,6,0,6,full,18.775261544094093,18.655,19.003,0.03851352419332174,3.690141618232575,0.8564,4.7774,0.37663298713505994,69.27314473888151,16.2741692,89.409041,52.99897553888151,20.13589626111849,6.9652108244426625,13.50118462351242,0.111,2074.856,2074.7450000000003,55.37,54.60,55.99,0.38,4.66,37.61890000000001,36.999,38.949,0.6199000000000083,1.3300999999999874,1.9499999999999957,0.8782264261314124,0.026207448806949737,0.020947604528574727
x7ti,4,OTAC_little_packed_half,x7ti_OTAC_little_half,OTAC_little,5,packed,3,4,3,4,0,half,18.96377227993439,18.855,19.033,0.013038484933332095,1.4366073628576637,0.6262,2.4745,0.10071745245697844,27.242553313213048,11.9184646,46.7160855,15.324088713213047,19.47353218678695,1.8953584477741903,13.50118462351242,0.045,816.645,816.6,18.32,18.06,18.79,0.19,4.66,14.551700000000002,14.438,14.627,0.11370000000000147,0.07529999999999859,0.18900000000000006,0.07167217033130785,0.026644036006353074,0.017917510668856558
x7ti,4,OTAC_little_packed_full,x7ti_OTAC_little_full,OTAC_little,5,packed,3,8,6,8,0,full,18.946331401186672,18.825,18.991,0.015197917884328387,1.6167003331811958,1.037,2.9333,0.12925986893495922,30.629109165225923,19.693666999999998,55.260438699999995,10.935442165225925,24.63132953477407,2.4298720061221695,13.50118462351242,0.051,918.605,918.554,21.35,21.22,21.57,0.07,4.66,26.084600000000002,26.012,26.182,0.07260000000000133,0.09739999999999682,0.16999999999999815,0.06819938090302216,0.01671152640406582,0.01164875827116383
x7ti,4,2CATAC_loose_half,x7ti_2CATAC_half,2CATAC,1,loose,1,4,3,4,3,half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,43.242000000000004,43.097,43.538,0.14500000000000313,0.29599999999999227,0.4409999999999954,0.12506798151405413,0.0,0.0
x7ti,4,2CATAC_loose_full,x7ti_2CATAC_full,2CATAC,1,loose,1,8,6,8,5,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,49.97959999999999,48.266,52.037,1.7135999999999925,2.0574000000000083,3.771000000000001,1.1618780008627794,0.0,0.0
x7ti,4,FERTAC_loose_half,x7ti_FERTAC_half,FERTAC,2,loose,1,4,3,4,3,half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,35.64450000000001,35.249,36.042,0.3955000000000055,0.39749999999999375,0.7929999999999993,0.25894626212144195,0.0,0.0
x7ti,4,FERTAC_loose_full,x7ti_FERTAC_full,FERTAC,2,loose,1,8,6,8,6,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,56.03380000000001,53.235,57.174,2.798800000000007,1.140199999999993,3.939,1.0851419569193086,0.0,0.0
x7ti,4,HeRAD_loose_half,x7ti_HeRAD_half,HeRAD,3,loose,1,4,3,4,3,half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,43.759,43.593,43.901,0.16599999999999682,0.142000000000003,0.30799999999999983,0.08819548993256052,0.0,0.0
x7ti,4,HeRAD_loose_full,x7ti_HeRAD_full,HeRAD,3,loose,1,8,6,8,5,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,50.2707,49.288,51.511,0.9827000000000012,1.2403000000000048,2.223000000000006,0.6275435443058917,0.0,0.0
x7ti,4,OTAC_big_loose_half,x7ti_OTAC_big_half,OTAC_big,4,loose,1,4,3,0,3,half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,18.357,18.215,18.662,0.14199999999999946,0.3049999999999997,0.4469999999999992,0.14829250374400832,0.0,0.0
x7ti,4,OTAC_big_loose_full,x7ti_OTAC_big_full,OTAC_big,4,loose,1,8,6,0,6,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,36.534000000000006,36.111,37.061,0.4230000000000089,0.5269999999999939,0.9500000000000028,0.30709535254633163,0.0,0.0
x7ti,4,OTAC_little_loose_half,x7ti_OTAC_little_half,OTAC_little,5,loose,1,4,3,4,0,half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,25.479300000000002,25.214,25.778,0.2653000000000034,0.29869999999999663,0.5640000000000001,0.18212575020817012,0.0,0.0
x7ti,4,OTAC_little_loose_full,x7ti_OTAC_little_full,OTAC_little,5,loose,1,8,6,8,0,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50118462351242,0,0,0,0,0,0,0,4.66,44.78280000000001,44.544,44.956,0.2388000000000119,0.17319999999999425,0.41200000000000614,0.1339749562003625,0.0,0.0
x7ti,4,2CATAC_distant_half,x7ti_2CATAC_half,2CATAC,1,distant,4,4,3,4,3,half,18.81034731359649,18.658,19.052,0.057875342317899967,3.295698606542398,1.3235,4.5035,0.5443243824442552,61.972144867525586,25.094883499999995,84.1298835,36.87726136752559,22.15773863247442,10.140555687500395,13.50118462351242,3980.064,5838.107,1858.0430000000001,48.55,47.71,49.17,0.39,4.66,39.93919999999999,39.455,40.43,0.4841999999999942,0.49080000000000723,0.9750000000000014,0.3284816247186113,0.022083255692518237,0.017300386587613174
x7ti,4,2CATAC_distant_full,x7ti_2CATAC_full,2CATAC,1,distant,4,8,6,8,5,full,18.743450565934815,18.666,18.98,0.027641752118007686,4.090526678485386,0.945,4.6716,0.27171518435296216,76.66544018268102,17.932319999999997,87.3776064,58.73312018268103,10.71216621731898,5.028283009813427,13.50118462351242,0.135,2296.662,2296.5269999999996,60.45,59.72,61.82,0.53,4.66,70.7435,68.612,71.655,2.1315000000000026,0.9115000000000038,3.0430000000000064,0.97982144064904,0.015423361081652962,0.012161179472319011
x7ti,4,FERTAC_distant_half,x7ti_FERTAC_half,FERTAC,2,distant,4,4,3,4,3,half,18.757626515323498,18.681,18.886,0.024270036598480867,3.9211697026106695,2.3633,4.5299,0.22326542404651667,73.54823602477639,44.6332838,84.89938579999999,28.914952224776385,11.351149775223604,4.127178918686656,13.50118462351242,0.136,2203.028,2202.892,57.23,56.54,58.07,0.40,4.66,37.2438,36.441,38.845,0.8027999999999977,1.6011999999999986,2.4039999999999964,0.8029017928046296,0.028105040170568456,0.02186934093728352
x7ti,4,FERTAC_distant_full,x7ti_FERTAC_full,FERTAC,2,distant,4,8,6,8,6,full,18.72929189507543,18.678,18.817,0.012991490649163015,4.2561839804285775,3.348,4.6381,0.11678310615602196,79.71434244227336,62.939052,86.767704,16.775290442273366,7.053361557726632,2.1531180042024594,13.50118462351242,0.135,2387.923,2387.7879999999996,61.04,60.31,61.56,0.36,4.66,63.5736,63.311,65.101,0.26259999999999906,1.5274,1.7899999999999991,0.5390065346954933,0.01784537168948171,0.0136648118086753
x7ti,4,HeRAD_distant_half,x7ti_HeRAD_half,HeRAD,3,distant,4,4,3,4,3,half,18.797057423481043,18.659,19.04,0.064780052113615,3.4498063544997715,1.038,4.2711,0.6357420739424606,64.81670953180448,19.76352,80.22834239999999,45.05318953180448,15.411632868195511,11.838704408820957,13.50118462351242,0.101,1942.839,1942.7379999999998,52.24,51.27,52.88,0.40,4.66,39.6134,39.044,39.971,0.5694000000000017,0.3575999999999979,0.9269999999999996,0.3665285194300105,0.0232868526825933,0.01876838847460708
x7ti,4,HeRAD_distant_full,x7ti_HeRAD_full,HeRAD,3,distant,4,8,6,8,5,full,18.738081437071354,18.663,18.984,0.026176580068507607,4.1379812145160555,1.3336,5.0038,0.21952900499869263,77.53465842199664,25.311728,93.4759878,52.22293042199664,15.94132937800336,4.058662111355503,13.50118462351242,0.13,2324.919,2324.7889999999998,60.46,59.33,60.84,0.30,4.66,71.2809,70.191,72.135,1.0899,0.8541000000000025,1.9440000000000026,0.6772489202649206,0.015480630276299208,0.012071490679831485
x7ti,4,OTAC_big_distant_half,x7ti_OTAC_big_half,OTAC_big,4,distant,4,4,3,0,3,half,18.88513566350711,18.76,19.037,0.02133316886392099,2.3792196955887714,0.7291,3.8699,0.1723591793094535,44.929558451075465,13.8682111,72.59932400000001,31.061347351075465,27.669765548924545,3.221411088233776,13.50118462351242,0.077,1346.042,1345.965,34.81,34.29,35.20,0.21,4.66,19.0334,18.762,19.697,0.27139999999999986,0.6635999999999989,0.9349999999999987,0.34577005846853354,0.03359554655898085,0.026028766274023563
x7ti,4,OTAC_big_distant_full,x7ti_OTAC_big_full,OTAC_big,4,distant,4,8,6,0,6,full,18.733572833129447,18.648,19.014,0.025809992577369736,4.182812536813013,1.0567,4.8534,0.22555827646041823,78.355364711241,20.092093799999997,90.5790042,58.263270911240994,12.223639488759005,4.161943420166305,13.50118462351242,0.136,2349.684,2349.5480000000002,61.64,61.16,62.35,0.31,4.66,35.3507,34.847,38.063,0.503700000000002,2.712299999999999,3.216000000000001,0.9596058276419785,0.03154544466079545,0.024815929528976797
x7ti,4,OTAC_little_distant_half,x7ti_OTAC_little_half,OTAC_little,5,distant,4,4,3,4,0,half,18.96288089375285,18.863,19.029,0.012650824574660227,1.4368071317829458,0.7143,2.4956,0.09559242893421069,27.245157740424077,13.5924147,47.094467599999994,13.652743040424076,19.849309859575918,1.798818545929603,13.50118462351242,0.044,816.707,816.663,18.55,18.10,18.90,0.20,4.66,14.8572,14.698,14.959,0.15920000000000023,0.101799999999999,0.26099999999999923,0.0937512073996322,0.02609866495448102,0.017769404733058717
x7ti,4,OTAC_little_distant_full,x7ti_OTAC_little_full,OTAC_little,5,distant,4,8,6,8,0,full,18.944593349686563,18.813,18.984,0.015249418147758653,1.6235949350413372,1.2098,2.9999,0.12920109440658614,30.75694293400109,22.962004,56.43711869999999,7.794938934001088,25.680175765998904,2.4289609473724263,13.50118462351242,0.053,922.452,922.399,21.46,21.34,21.68,0.05,4.66,26.142699999999998,26.045,26.202,0.09769999999999612,0.059300000000003905,0.15700000000000003,0.05530531419111321,0.016743978695264974,0.01168275350288991
x7ti,4,2CATAC_guided_half,x7ti_2CATAC_half,2CATAC,1,guided,2,4,3,4,3,half,18.89285176980496,18.774,19.061,0.053182585393237655,3.2696237996628943,1.1258,4.4773,0.6321273939580292,61.74763357692752,21.4588738,84.24487679999999,40.28875977692752,22.497243223072466,11.851773019402433,13.50118462351242,1.852,1854.616,1852.764,50.07,45.94,52.56,2.52,4.66,39.1388,38.425,39.347,0.7138000000000062,0.20819999999999794,0.9220000000000041,0.2686181924839298,0.022453225982064666,0.018206900569256085
x7ti,4,2CATAC_guided_full,x7ti_2CATAC_full,2CATAC,1,guided,2,8,6,8,5,full,18.835633588521354,18.782,18.926,0.018869222409667798,4.108092228802542,2.9818,4.5799,0.19401696529904433,77.3765112760075,56.406710600000004,86.33111500000001,20.9698006760075,8.954603723992506,3.614289732447045,13.50118462351242,0.223,2324.595,2324.372,60.28,58.75,62.17,1.02,4.66,69.83950000000002,68.891,70.694,0.9485000000000099,0.8544999999999874,1.8029999999999973,0.6111508724438578,0.01576790367170639,0.012283950486472552
x7ti,4,FERTAC_guided_half,x7ti_FERTAC_half,FERTAC,2,guided,2,4,3,4,3,half,18.85346711603274,18.793,18.975,0.014179010786199682,3.8363768464130956,2.4821,4.4145,0.14652287452209808,72.32782470072219,47.0035277,83.09413350000001,25.32429700072219,10.766308799277823,2.7316962472411497,13.50118462351242,0.217,2173.143,2172.926,58.43,57.58,59.36,0.34,4.66,37.87429999999999,37.695,38.167,0.1792999999999907,0.2927000000000106,0.4720000000000013,0.1351493412653006,0.027178577587986537,0.021956201434745994
x7ti,4,FERTAC_guided_full,x7ti_FERTAC_full,FERTAC,2,guided,2,8,6,8,6,full,18.83058178841431,18.766,18.94,0.01979415502775873,4.175986651899649,2.9261,4.8722,0.22772830960439733,78.6330388042086,55.332551,91.5778712,23.300487804208593,12.944832395791408,4.229397418624274,13.50118462351242,0.144,2362.127,2361.983,61.07,59.89,61.44,0.41,4.66,58.563,56.169,61.828,2.3940000000000055,3.2650000000000006,5.659000000000006,2.198220290244917,0.01910942759526487,0.01484125198504175
x7ti,4,HeRAD_guided_half,x7ti_HeRAD_half,HeRAD,3,guided,2,4,3,4,3,half,18.87633686389678,18.759,19.068,0.05440456520046477,3.468978051128978,0.7622,4.4517,0.6570916489860732,65.45421787478696,14.533629600000001,83.78989739999999,50.920588274786965,18.335679525213024,12.300443379350645,13.50118462351242,0.2,1963.973,1963.773,53.41,48.14,54.22,1.27,4.66,39.0943,38.665,39.472,0.4292999999999978,0.37770000000000437,0.8070000000000022,0.2575702924553914,0.023828139365430972,0.019443528084656842
x7ti,4,HeRAD_guided_full,x7ti_HeRAD_full,HeRAD,3,guided,2,8,6,8,5,full,18.829835202927157,18.745,18.939,0.024303104152163284,4.154168557122912,2.9221,4.7881,0.25755640936415736,78.21862541243561,55.2218458,89.89178940000001,22.996779612435617,11.673163987564394,4.795143682280537,13.50118462351242,0.143,2350.418,2350.275,60.08,57.87,60.96,0.59,4.66,69.47349999999999,64.121,71.384,5.352499999999992,1.9105000000000132,7.263000000000005,2.237708612249,0.016023483441452983,0.012307693724945485
