sched_name,throughput_mbps
x7ti_os_R5,11.251
x7ti_os_R5,11.352
x7ti_os_R5,11.123
x7ti_os_R5,11.154
x7ti_os_R5,11.206
x7ti_os_R5,11.212
x7ti_os_R5_lavd,9.453
x7ti_os_R5_lavd,9.929
x7ti_os_R5_lavd,9.646
x7ti_os_R5_lavd,9.582
x7ti_os_R5_lavd,9.538
x7ti_os_R5_lavd,9.796
x7ti_os_R5_lavd,9.796
x7ti_os_R5_lavd,9.751
x7ti_os_R5_lavd,9.745
x7ti_os_R5_lavd,9.463
x7ti_os_R5_lavd,9.428
x7ti_os_R5_lavd,9.628
x7ti_os_R5_lavd,9.542
x7ti_os_R5_lavd,9.626
x7ti_os_R5_lavd,9.613
x7ti_os_R5_bpfland,12.084
x7ti_os_R5_bpfland,12.139
x7ti_os_R5_bpfland,12.182
x7ti_os_R5_bpfland,12.115
x7ti_os_R5_bpfland,12.105
x7ti_os_R5_bpfland,12.097
x7ti_os_R5_bpfland,12.092
x7ti_os_R5_bpfland,12.127
x7ti_os_R5_bpfland,12.130
x7ti_os_R5_bpfland,12.128
x7ti_os_R5_bpfland,12.118
x7ti_os_R5_bpfland,12.168
x7ti_os_R5_bpfland,12.130
x7ti_os_R5_bpfland,12.145
x7ti_os_R5_bpfland,12.124
x7ti_os_R6,10.914
x7ti_os_R6,11.043
x7ti_os_R6,10.893
x7ti_os_R6,10.793
x7ti_os_R6,10.835
x7ti_os_R6,10.827
x7ti_os_R6,10.964
x7ti_os_R6,11.031
x7ti_os_R6,10.843
x7ti_os_R6,11.056
x7ti_os_R6,10.896
x7ti_os_R6,10.730
x7ti_os_R6,10.894
x7ti_os_R6,11.060
x7ti_os_R6,10.839
x7ti_os_R6_lavd,9.202
x7ti_os_R6_lavd,9.507
x7ti_os_R6_lavd,10.134
x7ti_os_R6_lavd,9.204
x7ti_os_R6_lavd,8.848
x7ti_os_R6_lavd,9.312
x7ti_os_R6_lavd,9.542
x7ti_os_R6_lavd,9.420
x7ti_os_R6_lavd,9.147
x7ti_os_R6_lavd,8.516
x7ti_os_R6_lavd,9.772
x7ti_os_R6_lavd,9.603
x7ti_os_R6_lavd,10.156
x7ti_os_R6_lavd,9.212
x7ti_os_R6_lavd,8.999
x7ti_os_R6_bpfland,10.370
x7ti_os_R6_bpfland,10.303
x7ti_os_R6_bpfland,10.455
x7ti_os_R6_bpfland,10.368
x7ti_os_R6_bpfland,10.430
x7ti_os_R6_bpfland,10.451
x7ti_os_R6_bpfland,10.414
x7ti_os_R6_bpfland,10.436
x7ti_os_R6_bpfland,10.405
x7ti_os_R6_bpfland,10.460
x7ti_os_R6_bpfland,10.425
x7ti_os_R6_bpfland,10.443
x7ti_os_R6_bpfland,10.468
x7ti_os_R6_bpfland,10.430
x7ti_os_R6_bpfland,10.375
x7ti_os_R7,9.392
x7ti_os_R7,9.289
x7ti_os_R7,9.369
x7ti_os_R7,9.001
x7ti_os_R7,9.501
x7ti_os_R7,9.462
x7ti_os_R7,9.330
x7ti_os_R7,9.333
x7ti_os_R7,9.162
x7ti_os_R7,9.241
x7ti_os_R7,9.100
x7ti_os_R7,9.358
x7ti_os_R7,9.440
x7ti_os_R7,9.439
x7ti_os_R7,9.400
x7ti_os_R7_lavd,9.034
x7ti_os_R7_lavd,9.276
x7ti_os_R7_lavd,8.516
x7ti_os_R7_lavd,8.716
x7ti_os_R7_lavd,9.091
x7ti_os_R7_lavd,9.258
x7ti_os_R7_lavd,8.619
x7ti_os_R7_lavd,9.079
x7ti_os_R7_lavd,9.322
x7ti_os_R7_lavd,8.396
x7ti_os_R7_lavd,9.261
x7ti_os_R7_lavd,9.292
x7ti_os_R7_lavd,8.705
x7ti_os_R7_lavd,9.260
x7ti_os_R7_lavd,8.573
x7ti_os_R7_bpfland,8.944
x7ti_os_R7_bpfland,9.007
x7ti_os_R7_bpfland,8.960
